seq,time_ms,state,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_hpa,altitude_m,batt_mv,gps_fix,lat_deg,lon_deg,crc16
120,12000,ASCENT,-0.011,0.008,1.307,-1.318,0.085,0.101,1012.12,9.45,8352,1,34.000180,-81.000144,4306
121,12100,ASCENT,-0.005,0.016,1.331,-1.303,0.133,0.113,1012.00,10.39,8352,1,34.000181,-81.000145,2BCD
122,12200,ASCENT,-0.010,0.012,1.318,-1.331,0.186,0.047,1011.88,11.37,8352,1,34.000183,-81.000146,85F0
123,12300,ASCENT,-0.000,0.010,1.308,-1.369,0.183,0.052,1011.76,12.39,8351,1,34.000185,-81.000148,9057
124,12400,ASCENT,-0.016,0.004,1.333,-1.441,0.292,-0.015,1011.63,13.46,8351,1,34.000186,-81.000149,17A0
125,12500,ASCENT,-0.002,0.011,1.323,-1.432,0.266,0.047,1011.50,14.56,8350,1,34.000188,-81.000150,763B
126,12600,ASCENT,-0.014,0.000,1.330,-1.403,0.379,0.042,1011.37,15.70,8350,1,34.000189,-81.000151,8080
127,12700,ASCENT,-0.019,-0.002,1.309,-1.469,0.424,0.007,1011.22,16.89,8350,1,34.000191,-81.000152,D39B
128,12800,ASCENT,-0.013,0.008,1.317,-1.412,0.454,-0.088,1011.08,18.11,8349,1,34.000192,-81.000154,3E7A
129,12900,ASCENT,-0.008,0.009,1.270,-1.466,0.440,-0.074,1010.93,19.37,8349,1,34.000194,-81.000155,18B2
130,13000,ASCENT,-0.016,0.007,1.269,-1.464,0.564,-0.061,1010.77,20.67,8348,1,34.000195,-81.000156,1C2B
131,13100,ASCENT,-0.009,0.006,1.257,-1.479,0.571,-0.073,1010.61,22.00,8348,1,34.000197,-81.000157,5220
132,13200,ASCENT,-0.024,-0.011,1.276,-1.503,0.634,-0.094,1010.45,23.38,8348,1,34.000198,-81.000158,FDF5
133,13300,ASCENT,-0.021,0.002,1.281,-1.522,0.657,-0.129,1010.28,24.79,8347,1,34.000200,-81.000160,EA6D
134,13400,ASCENT,-0.026,-0.006,1.258,-1.506,0.712,-0.139,1010.10,26.24,8347,1,34.000201,-81.000161,81FD
135,13500,ASCENT,-0.021,-0.007,1.271,-1.541,0.720,-0.226,1009.92,27.72,8346,1,34.000203,-81.000162,4850
136,13600,ASCENT,-0.012,0.004,1.238,-1.463,0.763,-0.176,1009.74,29.24,8346,1,34.000204,-81.000163,E036
137,13700,ASCENT,-0.010,-0.004,1.267,-1.509,0.790,-0.253,1009.56,30.80,8346,1,34.000205,-81.000164,9C9F
138,13800,ASCENT,-0.027,-0.009,1.217,-1.474,0.835,-0.275,1009.37,32.39,8345,1,34.000207,-81.000166,FE38
139,13900,ASCENT,-0.027,-0.013,1.258,-1.502,0.805,-0.294,1009.17,34.02,8345,1,34.000208,-81.000167,2A41
140,14000,ASCENT,-0.024,-0.005,1.254,-1.454,0.858,-0.272,1008.97,35.68,8344,1,34.000210,-81.000168,2330
141,14100,ASCENT,-0.015,-0.005,1.216,-1.426,0.891,-0.293,1008.77,37.37,8344,1,34.000211,-81.000169,63E2
142,14200,ASCENT,-0.025,-0.003,1.235,-1.481,0.913,-0.325,1008.56,39.10,8344,1,34.000213,-81.000170,D74D
143,14300,ASCENT,-0.020,-0.019,1.201,-1.482,0.907,-0.359,1008.35,40.86,8343,1,34.000214,-81.000172,2D94
144,14400,ASCENT,-0.024,-0.008,1.204,-1.394,0.926,-0.317,1008.14,42.65,8343,1,34.000216,-81.000173,D0C4
145,14500,ASCENT,-0.011,-0.006,1.199,-1.418,0.970,-0.335,1007.92,44.48,8342,1,34.000217,-81.000174,8554
146,14600,ASCENT,-0.014,-0.024,1.216,-1.391,1.001,-0.372,1007.70,46.34,8342,1,34.000219,-81.000175,C509
147,14700,ASCENT,-0.014,-0.024,1.190,-1.360,1.062,-0.363,1007.47,48.23,8342,1,34.000220,-81.000176,08A4
148,14800,ASCENT,-0.017,-0.013,1.189,-1.331,1.057,-0.407,1007.24,50.15,8341,1,34.000222,-81.000178,6685
149,14900,ASCENT,-0.013,-0.021,1.174,-1.347,1.087,-0.443,1007.01,52.10,8341,1,34.000223,-81.000179,2680
150,15000,ASCENT,-0.019,-0.008,1.213,-1.333,1.035,-0.448,1006.77,54.08,8340,1,34.000225,-81.000180,B65D
151,15100,ASCENT,-0.009,-0.013,1.173,-1.272,1.101,-0.508,1006.53,56.09,8340,1,34.000226,-81.000181,D96C
152,15200,ASCENT,-0.015,-0.011,1.202,-1.214,1.047,-0.451,1006.29,58.13,8340,1,34.000228,-81.000182,6BD9
153,15300,ASCENT,-0.015,-0.015,1.179,-1.166,1.124,-0.525,1006.04,60.20,8339,1,34.000230,-81.000184,B734
154,15400,ASCENT,0.002,-0.014,1.168,-1.163,1.091,-0.561,1005.79,62.30,8339,1,34.000231,-81.000185,4391
155,15500,ASCENT,-0.002,-0.010,1.156,-1.098,1.141,-0.492,1005.53,64.43,8338,1,34.000233,-81.000186,8950
156,15600,ASCENT,-0.009,-0.018,1.169,-1.055,1.074,-0.537,1005.28,66.59,8338,1,34.000234,-81.000187,AA99
157,15700,ASCENT,-0.001,-0.019,1.160,-1.080,1.082,-0.576,1005.02,68.77,8338,1,34.000236,-81.000188,2855
158,15800,ASCENT,-0.004,-0.014,1.187,-1.011,1.102,-0.554,1004.75,70.98,8337,1,34.000237,-81.000190,732B
159,15900,ASCENT,0.004,-0.012,1.160,-0.967,1.088,-0.547,1004.49,73.22,8337,1,34.000239,-81.000191,436C
160,16000,ASCENT,0.015,-0.023,1.161,-0.968,1.099,-0.617,1004.22,75.48,8336,1,34.000240,-81.000192,215C
161,16100,ASCENT,0.013,-0.020,1.176,-0.926,1.076,-0.653,1003.94,77.77,8336,1,34.000242,-81.000193,085D
162,16200,ASCENT,0.007,-0.009,1.200,-0.882,1.086,-0.665,1003.67,80.08,8336,1,34.000243,-81.000194,3D7F
163,16300,ASCENT,0.007,-0.010,1.194,-0.812,1.050,-0.688,1003.39,82.42,8335,1,34.000245,-81.000196,ACDF
164,16400,ASCENT,0.002,-0.023,1.181,-0.756,1.009,-0.699,1003.11,84.79,8335,1,34.000246,-81.000197,0C1B
165,16500,ASCENT,0.011,-0.007,1.216,-0.692,1.004,-0.638,1002.82,87.18,8334,1,34.000248,-81.000198,C78F
166,16600,ASCENT,0.016,-0.016,1.183,-0.716,1.012,-0.706,1002.54,89.59,8334,1,34.000249,-81.000199,FEE7
167,16700,ASCENT,0.010,-0.023,1.189,-0.655,1.018,-0.729,1002.25,92.03,8334,1,34.000250,-81.000200,16AF
168,16800,ASCENT,0.024,-0.005,1.182,-0.607,1.008,-0.660,1001.95,94.49,8333,1,34.000252,-81.000202,F580
169,16900,ASCENT,0.024,-0.014,1.230,-0.552,0.998,-0.730,1001.66,96.97,8333,1,34.000253,-81.000203,60D4
170,17000,ASCENT,0.026,-0.012,1.197,-0.462,0.913,-0.760,1001.36,99.47,8332,1,34.000255,-81.000204,91BC
171,17100,ASCENT,0.018,-0.008,1.198,-0.441,0.945,-0.714,1001.06,102.00,8332,1,34.000256,-81.000205,807F
172,17200,ASCENT,0.015,-0.018,1.244,-0.405,0.902,-0.763,1000.76,104.55,8332,1,34.000258,-81.000206,694D
173,17300,ASCENT,0.021,-0.006,1.221,-0.291,0.932,-0.703,1000.45,107.12,8331,1,34.000259,-81.000208,3F78
174,17400,ASCENT,0.014,-0.006,1.214,-0.275,0.907,-0.716,1000.14,109.71,8331,1,34.000261,-81.000209,9F37
175,17500,ASCENT,0.021,-0.004,1.216,-0.234,0.790,-0.757,999.83,112.32,8330,1,34.000262,-81.000210,733B
176,17600,ASCENT,0.017,-0.005,1.259,-0.196,0.774,-0.738,999.52,114.95,8330,1,34.000264,-81.000211,3488
177,17700,ASCENT,0.012,-0.010,1.243,-0.161,0.791,-0.815,999.20,117.60,8330,1,34.000265,-81.000212,0935
178,17800,ASCENT,0.013,-0.014,1.271,-0.042,0.762,-0.770,998.89,120.27,8329,1,34.000267,-81.000214,52A0
179,17900,ASCENT,0.014,-0.012,1.236,0.002,0.742,-0.734,998.57,122.96,8329,1,34.000268,-81.000215,19AD
180,18000,ASCENT,0.028,-0.001,1.287,0.001,0.696,-0.744,998.25,125.67,8328,1,34.000270,-81.000216,F22A
181,18100,ASCENT,0.024,-0.012,1.290,0.037,0.605,-0.798,997.92,128.39,8328,1,34.000271,-81.000217,DFB9
182,18200,ASCENT,0.020,-0.009,1.272,0.156,0.615,-0.788,997.60,131.13,8328,1,34.000273,-81.000218,4810
183,18300,ASCENT,0.010,0.009,1.279,0.137,0.591,-0.752,997.27,133.89,8327,1,34.000275,-81.000220,E290
184,18400,ASCENT,0.017,-0.000,1.267,0.250,0.558,-0.835,996.94,136.67,8327,1,34.000276,-81.000221,0BB9
185,18500,ASCENT,0.013,-0.002,1.314,0.269,0.451,-0.838,996.61,139.46,8326,1,34.000278,-81.000222,7A08
186,18600,ASCENT,0.022,0.000,1.273,0.370,0.472,-0.757,996.28,142.27,8326,1,34.000279,-81.000223,5BE7
187,18700,ASCENT,0.008,-0.003,1.285,0.373,0.385,-0.819,995.94,145.09,8326,1,34.000281,-81.000224,F15E
188,18800,ASCENT,0.003,0.005,1.304,0.484,0.392,-0.776,995.61,147.93,8325,1,34.000282,-81.000226,CB6D
189,18900,ASCENT,0.017,0.015,1.322,0.486,0.320,-0.814,995.27,150.79,8325,1,34.000284,-81.000227,DC4E
190,19000,ASCENT,0.004,0.009,1.303,0.548,0.254,-0.758,994.93,153.65,8324,1,34.000285,-81.000228,FE22
191,19100,ASCENT,0.011,0.011,1.338,0.546,0.252,-0.795,994.59,156.54,8324,1,34.000287,-81.000229,A9CC
192,19200,ASCENT,0.008,0.005,1.328,0.639,0.183,-0.843,994.25,159.43,8324,1,34.000288,-81.000230,3DEC
193,19300,ASCENT,0.004,0.009,1.307,0.726,0.149,-0.785,993.90,162.34,8323,1,34.000290,-81.000232,8884
194,19400,ASCENT,0.008,0.016,1.318,0.679,0.127,-0.781,993.56,165.26,8323,1,34.000291,-81.000233,8675
195,19500,ASCENT,0.005,0.018,1.350,0.807,0.029,-0.836,993.21,168.20,8322,1,34.000293,-81.000234,8AAC
196,19600,ASCENT,0.010,0.007,1.356,0.819,-0.002,-0.754,992.86,171.14,8322,1,34.000294,-81.000235,7FC4
197,19700,ASCENT,-0.007,0.007,1.345,0.851,-0.036,-0.771,992.51,174.10,8322,1,34.000296,-81.000236,21CD
198,19800,ASCENT,-0.002,0.009,1.356,0.880,-0.065,-0.815,992.16,177.07,8321,1,34.000297,-81.000238,56FF
199,19900,ASCENT,-0.006,0.024,1.342,0.991,-0.069,-0.807,991.81,180.05,8321,1,34.000298,-81.000239,8ED7
200,20000,ASCENT,-0.004,0.022,1.339,1.014,-0.183,-0.728,991.46,183.04,8320,1,34.000300,-81.000240,57F4
201,20100,ASCENT,-0.006,0.020,1.324,1.006,-0.155,-0.796,991.10,186.04,8320,1,34.000301,-81.000241,D5AC
202,20200,ASCENT,-0.018,0.014,1.362,1.079,-0.291,-0.776,990.75,189.05,8320,1,34.000303,-81.000242,68FA
